request_id,srnumber,created_date,closed_date,type_id,agency_id,source_id,council_id,region_id,address,latitude,longitude,city_id
4556,1-1524265319,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,35,12,"16400 S VERMONT AVE, 90247",33.88235921,-118.2911925,15
4557,1-1524265334,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,35,12,"14325 S FIGUEROA ST, 90248",33.9010977,-118.2830479,15
4558,1-1524265339,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,35,12,"14800 S ESTRELLA AVE, 90248",33.89767606,-118.2856514,15
4559,1-1524265344,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,35,12,"600 W 149TH ST, 90248",33.89659552,-118.2857336,15
4560,1-1524265349,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,35,12,"15191 S FIGUEROA ST, 90248",33.89376629,-118.2833644,15
4561,1-1524265584,2020-01-02 12:49:00,2020-01-04 10:33:00,4,2,7,42,5,"6326 W LONGVIEW AVE, 90068",34.10774308,-118.3277999,4
4562,1-1524265661,2020-01-02 12:49:00,2020-01-08 13:23:00,4,2,8,74,9,"1114 E 20TH ST, 90011",34.02469517,-118.2539654,9
4563,1-1524265705,2020-01-02 12:49:00,2020-01-02 15:21:00,11,5,7,29,2,"17051 W SIMONDS ST, 91344",34.2765727,-118.50402,12
4564,1-1524265745,2020-01-02 12:49:00,2020-01-06 15:03:00,6,2,7,24,10,"3749 W MARTIN LUTHER KING, JR BLVD, 90008",34.01337251,-118.3388864,10
4565,1-1524265821,2020-01-02 12:49:00,2020-01-02 12:50:00,1,4,18,79,1,"13207 N GLADSTONE AVE, 91342",34.31085311,-118.4288465,7
4566,1-1524265903,2020-01-02 12:50:00,2020-01-06 07:01:00,4,2,7,21,10,"2210 S LA SALLE AVE, 90018",34.03621158,-118.3057099,8
4567,1-1524265951,2020-01-02 12:50:00,2020-01-03 16:03:00,4,2,17,40,5,"1302 N POINSETTIA PL, 90046",34.09460673,-118.3482332,4
4568,1-1524266111,2020-01-02 12:50:00,2020-01-02 12:55:00,1,4,18,79,1,"13220 W HARDING ST, 91342",34.30261539,-118.4212998,7
